"title","company","location","link","description"
"Mid-Junior DevOps Engineer - USA","HERE","New York, NY","https://www.linkedin.com/jobs/view/mid-junior-devops-engineer-usa-at-here-4347377348?position=1&pageNum=0&refId=a6vM9FZU54yRH5LeMf3gmg%3D%3D&trackingId=4WoYN7%2B7XqnzGzCpiEizTg%3D%3D","Mid-Junior DevOps Engineer

Location: New York, NY / Hybrid Remote / Remote within USA (EST / CST time zone)

We have an office in New York City and this position can either be based in the office, hybrid remote, or remote within the EST/CST time zones (subject to your existing legal right to work in the jurisdiction).

About HERE

Everything works right here™.

Traditional browsers weren't built for work. In today's enterprise environment—where security threats are constant and productivity is critical—legacy browsers fall short. That's why we built HERE, the browser purpose-built for work.

Powered by Chromium, HERE Enterprise Browser combines enterprise-grade security, seamless productivity, and native AI integration in one secure, intelligent workspace. Designed for regulated industries, HERE offers deep policy controls, identity-based access, secure workspace isolation, and full interoperability across SaaS, legacy, and virtualized environments. Our platform enables teams to work faster, more securely, and more intelligently—without compromise.

HERE technology is trusted by 90% of global banks and also used within the U.S. Intelligence Community and other sectors. We're backed by some of the world's most respected financial institutions and venture firms, including Bain Capital Ventures, Bank of America, J.P. Morgan, Wells Fargo and IQT, the not-for-profit strategic investor that accelerates the introduction of groundbreaking technologies to enhance the national security of America and its allies.

About the Role

HERE is seeking a mid-junior DevOps Engineer to join our infrastructure team! The primary responsibilities for this role will span CI/CD pipeline engineering and cloud operations, maintaining and improving our GitHub and GitLab CI/CD pipelines, and supporting our AWS cloud infrastructure. In this role, you will gain hands-on experience with real production build systems and cloud platforms- while having the opportunity to work on practical projects that directly impact both our development velocity and operational reliability.

We're actively evolving toward a cloud-agnostic, multi-cloud architecture and migrating to Kubernetes for container orchestration. While current AWS and ECS experience is essential, having exposure to Azure, GCP, and Kubernetes will position you well for our infrastructure roadmap.

This role offers the opportunity to collaborate with senior engineers who will provide guidance and mentorship, whilst giving you ownership of projects across the DevOps lifecycle. This is an excellent platform for building practical experience with modern build engineering (CI/CD automation, cloud infrastructure, and deployment practices) within a production environment.

Responsibilities


CI/CD Pipeline Development:
Build, maintain, and optimize GitLab CI/CD pipelines for multi-platform builds (Windows, macOS, Linux).
Work with YAML configurations, pipeline stages, artifacts, and deployment workflows.
Cloud Infrastructure Operations:
Help maintain and improve AWS infrastructure including ECS/Fargate deployments, RDS databases, Route53 DNS, VPC networking, and IAM policies.
Support multi-tenant and multi-region architecture.
Container & Deployment Management:
Work with Docker containers, ECS task definitions, and ECR registries.
Deploy and manage containerized Node.js applications in production environments.
Release Management:
Help manage release processes including version promotion, release channels (canary, beta, stable), and automated deployment to staging and production environments.
Database Operations:
Support PostgreSQL on AWS RDS—backups, SSH tunneling through bastion hosts, read-only user management, and database configuration for multi-tenant environments.
Automation & Scripting:
Write and maintain automation scripts in Bash, PowerShell, Python, and Node.js.
Build tools to improve infrastructure reliability and developer experience.
Internal Tools Support:
Help maintain web-based DevOps tools built with Express.js, React, and TypeScript—tools for cloud settings management, tenant provisioning, and deployment monitoring.

What We're Looking For

Ideally 2 to 4 years of experience with the following core requirements:


GitLab CI/CD: Experience with GitLab CI/CD pipelines—YAML configuration, stages, jobs, artifacts, rules, dependencies.
Understanding of CI/CD best practices and pipeline optimization.
AWS Cloud Fundamentals: Practical experience with core AWS services—EC2, ECS/Fargate, RDS, Route53, VPC, IAM, Secrets Manager, CloudWatch. Comfortable navigating the AWS Console and CLI.
Multi-Platform Scripting: Solid scripting skills in Bash (Linux) and PowerShell (Windows). Ability to write maintainable automation scripts for both platforms.
Containerization: Hands-on Docker experience—building images, writing Dockerfiles, docker-compose, understanding container networking, and working with ECS/ECR.
Build Systems: Experience with build tools and package managers—npm/Node.js, .NET/NuGet, Python packaging. Understanding of dependency management and build artifacts.
Version Control: Strong Git fundamentals—branching strategies, merge requests, tagging. Experience with GitHub (or GitLab) workflows and code review practices.
Linux/Unix & Windows: Comfortable in both environments—SSH, file permissions, package managers, systemd, PowerShell. Understanding of cross-platform operational challenges.
Node.js/JavaScript: Comfortable reading and writing JavaScript/Node.js code. Experience with npm, package.json, and basic Express.js applications for tooling.


Nice to Have


Kubernetes experience (EKS, GKE, AKS) or willingness to learn, we're migrating from ECS to K8s
Multi-cloud experience (Azure, GCP) or cloud-agnostic architecture knowledge
GitLab Runner administration and configuration
AWS CDK or CloudFormation for Infrastructure as Code
Terraform for multi-cloud infrastructure management
TypeScript development experience
PostgreSQL database administration and optimization
.NET build systems and NuGet package management
React or frontend framework experience
Airflow or workflow orchestration tools
Helm charts and Kubernetes manifest management


What We're Offering

Benefits -


Generous Paid Time Off, Paid Holidays & Sick Time
Competitive & Comprehensive Health Insurance
Thoughtfully-Planned Paid Parental Leave
Financial Well-Being Plans (FSA) (401k) (Life Insurance)
Stock Options
Professional Development Courses
Employee Resource Groups


Additional Perks -


One Medical - Free Membership
Talkspace - Mental Health Therapy 24/7
Team Lunches
Casual dress code
Commuter Benefits (NYC employees only)
Citibike (NYC employees only)


Life at HERE

At HERE, we pride ourselves on fostering a friendly, collaborative, and supportive culture that truly respects the diversity of thought. Our goal is to create a space where employees can learn and innovate, and overall, have a good time doing it. We value and appreciate that our employees have a wide set of interests and experiences and put importance on taking the time to get to know one another and form relationships. From virtual socials and in-person events, to informal meetings and employee resource groups, we make it easy to engage and connect. Our environment promotes a productive, enjoyable learning experience - aligned together, working to create compelling solutions for our clients. Everything works right here.™

We are HERE - Read about our recent rebrand from OpenFin to HERE

Recent Awards


Voted ""Enterprise Browser of the Year"" by CIO Review (2025)
Voted ""100 Best Midsize Companies to Work For in NYC"" by BuiltIn (2025)
Voted ""Top 10 Contact Center Technologies & Capabilities of 2024"" by CX Today (2024)
Voted ""Best Enterprise Environment for Interoperability"" by TradingTech Insight Awards Europe (2024)
Voted ""Top 50 Best Startups to Work for in the US"" & ""Top 50 Best Startups to Work for in New York"" by BuiltIn (2024)
Voted as a ""Best Employer Award"" finalist at the UK FinTech Awards (2023)
Voted ""Best FinTech Company CEO"" at the FinTech Breakthrough Awards (2023)
Voted ""Best Internal Talent Team"" by Financial Technologist (2023)
Voted ""Best Solution for Workflow Automation"" at the Trading Tech Insight Awards (2023)
Voted ""Top Innovator Across Financial Markets"" in TabbFORUM NOVA Awards (2023)
Voted ""Best User Interface Innovation"" in the Risk Markets Technology Awards (2023)
Voted ""Top 100 Most Promising Private FinTech Companies"" by CB Insights (2023)
Voted ""Most Influential Financial Technology Firm"" by Harrington Starr (2023)


RECRUITERS NOTICE: Recruiters - if you wish to reach out to us regarding this job posting, you may reach out to externalrecruitment@here.io in order for your communication to be reviewed. HERE will review these communications if external help is needed for a position. Agencies may not contact individuals within our organization with solicitations. Firms that do not follow these guidelines risk having all communication from their firm being blocked. We thank you in advance for your cooperation in following our process.

Sponsorship - While we highly value all of our candidates, we are not offering sponsorship for this role.

Salary Range: $70k - $120k

Salary Range Disclaimer: This base salary range represents the low and high end salary range for this particular position; not all encompassing of the total compensation package. Actual salaries may vary depending upon but not limited to experience, special skill set, education and location. This range represents only one aspect of HERE's total compensation package offered to employees. Other forms of compensation may be stock options, commissions, paid time off and other variable benefits. Learn more about additional HERE compensation benefits above."
"junior devops engineer","OVA.Work","Alpharetta, GA","https://www.linkedin.com/jobs/view/junior-devops-engineer-at-ova-work-4309344701?position=2&pageNum=0&refId=a6vM9FZU54yRH5LeMf3gmg%3D%3D&trackingId=THU4aigkkfKy8A4BQest%2BA%3D%3D","Job Title: Junior DevOps Engineer

Location: Remote

Job Type: Full-time

Experience Level: Entry-Level (0-2 years)

Department: IT / Engineering / DevOps

Job Summary

We are looking for a motivated and detail-oriented Junior DevOps Engineer to join our growing DevOps team. This role is ideal for someone with a foundational understanding of DevOps practices and a passion for automation, cloud technologies, and continuous integration/deployment. You will assist in maintaining and improving our infrastructure, deployment pipelines, and monitoring systems.

Key Responsibilities


Assist in the setup, maintenance, and monitoring of CI/CD pipelines.
Support cloud infrastructure (AWS, Azure, GCP) and help manage deployments.
Collaborate with development and operations teams to ensure reliable software delivery.
Write scripts and automation tools to streamline operations and deployments.
Monitor system performance and troubleshoot issues in development and production environments.
Maintain documentation for infrastructure and deployment processes.
Learn and apply best practices in security, scalability, and reliability.


Required Qualifications


Bachelor's degree in Computer Science, Information Technology, or related field.
Basic understanding of DevOps principles and software development lifecycle.
Familiarity with Linux/Unix systems and shell scripting.
Exposure to cloud platforms (AWS, Azure, or GCP).
Experience with version control systems (e.g., Git).
Knowledge of CI/CD tools (e.g., Jenkins, GitLab CI, GitHub Actions).
Strong problem-solving and communication skills.
Eagerness to learn and grow in a fast-paced environment.


Preferred Qualifications


Internship or project experience in DevOps or system administration.
Familiarity with containerization tools (Docker) and orchestration (Kubernetes).
Experience with Infrastructure as Code (Terraform, Ansible).
Basic knowledge of monitoring tools (Prometheus, Grafana, ELK Stack).


Benefits


Competitive salary and growth opportunities.
Mentorship from senior engineers.
Health and wellness benefits.
Flexible work hours and remote work options.
Access to training and certification programs."
"DevOps Engineer - Remote","The Dignify Solutions, LLC","Newtown Square, PA","https://www.linkedin.com/jobs/view/devops-engineer-remote-at-the-dignify-solutions-llc-4341955705?position=3&pageNum=0&refId=a6vM9FZU54yRH5LeMf3gmg%3D%3D&trackingId=voMTeOJraISKk8dt%2FwGsew%3D%3D","Over 12 -15 years of overall expereince needed.
A solid foundation in computer science, with strong competencies in data structures, algorithms, and software design.
Large systems software design and development experience.
Experience performing in-depth troubleshooting and unit testing with both new and legacy production systems.
Experience in programming and experience with problem diagnosis and resolution.
Kubernetes (3-4 YOE) and Fieldglass Experience (1-2 YOE)"
"DevOps Engineer - Remote","The Dignify Solutions, LLC","Newtown Square, PA","https://www.linkedin.com/jobs/view/devops-engineer-remote-at-the-dignify-solutions-llc-4347005704?position=4&pageNum=0&refId=a6vM9FZU54yRH5LeMf3gmg%3D%3D&trackingId=e9rtde0cgCWmAvwsXQQv0A%3D%3D","Bachelor's degree in a technical field such as computer science, computer engineering or related field required 0-2 years experience required.
1-2 years of experience with Kubernetes.
ISBN experience preferred.
A solid foundation in computer science , with strong competencies in data structures, algorithms, and software design large systems software design and development experience.
Experience performing in-depth troubleshooting and unit testing with both new and legacy production systems experience in programming and experience with problem diagnosis and resolution."
"Junior DevOps Engineer","GliaCell Technologies","Hanover, MD","https://www.linkedin.com/jobs/view/junior-devops-engineer-at-gliacell-technologies-4338894490?position=5&pageNum=0&refId=a6vM9FZU54yRH5LeMf3gmg%3D%3D&trackingId=36uXRnltvpOGN%2BEUUQO1iA%3D%3D","An active or rein-statable TS/SCI with Polygraph security clearance is REQUIRED. Please do not apply if you currently do not possess this level of clearance.***


Are you a Junior DevOps Engineer who is ready for a new challenge that will launch your career to the next level?


Tired of being treated like a company drone?
Tired of promised adventures during the hiring phase, then being dropped off on a remote contract and never seen or heard from the mothership again?
Our engineers were certainly tired of the same.


At GliaCell our slogan is “We make It happen”.


We will immerse you in the latest technologies.
We will develop and support your own personalized training program to continue your individual growth.
We will provide you with work that matters with our mission-focused customers, and surround you with a family of brilliant engineers.


Culture isn’t something you need to talk about…if it just exists.

If this sounds interesting to you, then we’d like to have a discussion regarding your next adventure! If you want to be a drone, this isn’t the place for you.

We Make It Happen!

GliaCell Technologies focuses on Software & System Engineering in Enterprise and Cyber Security solution spaces. We excel at delivering stable and reliable software solutions using Agile Software Development principles. These provide us the capability to deliver a quick turn-around using interactive applications and the integration of industry standard software stacks.

GliaCell’s Enterprise capabilities include Full-Stack Application Development, Big Data, Cloud Technologies, Analytics, Machine Learning, AI, and DevOps Containerization. We also provide customer solutions in the areas of CND, CNE, and CNO by providing our customers with assessments and solutions in Threat Mitigation, Vulnerability Exposure, Penetration Testing, Threat Hunting, and Preventing Advanced Persistent Threat.

We Offer


Long term job security
Competitive salaries & bonus opportunities
Challenging work you are passionate about
Ability to work with some amazingly talented people


Job Description

GliaCell is seeking a Junior DevOps Engineer on one of our subcontracts. This is a full-time position offering the opportunity to support a U.S. Government customer. The mission is to provide technical expertise that assists in sustaining critical mission-related software and systems to a large government contract.

Responsibilities


Establishing a test framework and automated tests utilizing Cucumber and Cypru
Knowledgeable in Microservices design & architecture, CI/CD, Test frameworks and automation, Agile Methodology.
Execute load and performance testing, chaos testing, functional testing and end-to-end testin
Agile development and delivery of software
Communication and collaboration: Software Development is a team-oriented discipline. Engineers need to be able to communicate and collaborate effectively with other team members, as well as with stakeholders.


Required Skills


Python and Cucumber


Desired Skills:


AWS services such as Lambdas, Step Functions, EC2 and S3


Key Requirements

To be considered for this position you must have the following:


Possess an active or rein-statable TS/SCI with Polygraph security clearance.
U.S. Citizenship.
Works well independently as well as on a team.
6+ years experience as a Developer in programs and contracts of similar scope, type, and complexity is required. A bachelor’s degree in a technical discipline from an accredited college or university is required. Five (4) years of development experience may be substituted for a bachelor’s degree.


Location: Annapolis Junction, MD

Salary Range: The salary range for this full-time position is $50,000 to $120,000. Our salary ranges are determined by position, level, skills, professional experience, relevant education and certifications. The range displayed on each job posting reflects the minimum and maximum target salaries for this position across our projects. Within the range, your salary is determined by your individual benefits package selection. Your recruiter can share more about the specific salary range for your preferred position during the hiring process.

Benefits


Medical, Dental, and Vision Coverage for Employee and Dependents
Up to 25 Days of Paid Time Off
Up to 40 hours of PTO Carryover
11 Federal Government Holidays
Work From Home Opportunities
401K Company Contribution, Fully Vested Day 1
Discretionary, Certification, and Sign-On Bonus Potential
Employee Referral Bonus Program
Annual Professional Development
100% Premium Covered for Life & Disability Insurances
Additional Voluntary Life Insurance Coverage Available
Employee Assistance Program
Travel Protection Program
Financial Planning Assistance
Bereavement and Jury Duty Leave
Monthly Team and Family Events
Technology Budget
Global Entry
Annual Swag Budget


Learn more about GliaCell Technologies: https://gliacelltechnologies.applytojob.com/apply/

GliaCell Technologies, LLC is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status."
"DevOps Cloud Engineer Based in U.S.A","Advancio","United States","https://www.linkedin.com/jobs/view/devops-cloud-engineer-based-in-u-s-a-at-advancio-4324442139?position=6&pageNum=0&refId=a6vM9FZU54yRH5LeMf3gmg%3D%3D&trackingId=CgsJD6qhtwkrem4%2FidgvnQ%3D%3D","This is a remote position.

Who We Are:


At Advancio, we are passionate about technology and its ability to transform the world. We are rapidly expanding and building a company where we serve exceptional businesses, hire top talent, and have a lot of fun doing what we love!


Job Summary:

We are seeking a skilled DevOps Cloud Engineer to design, implement, and manage scalable cloud-based infrastructure and DevOps processes. The ideal candidate will have extensive experience with cloud platforms, CI/CD pipelines, and automation tools, ensuring the efficient deployment and operation of applications.


What will you do:


Design, deploy, and manage cloud infrastructure on platforms such as AWS, Azure, or Google Cloud Platform (GCP).

Build and maintain CI/CD pipelines to streamline development and deployment processes.

Automate infrastructure provisioning, configuration, and monitoring using tools like Terraform, Ansible, or similar.

Ensure system reliability, availability, and performance through robust monitoring and alerting.

Collaborate with development teams to optimize the delivery and scalability of applications.

Manage containerized workloads using Docker and orchestration platforms such as Kubernetes.

Implement security best practices for cloud environments, including identity management, encryption, and compliance adherence.

Stay updated with the latest DevOps tools and methodologies to enhance team efficiency.




Requirements






5+ years of experience in DevOps, cloud engineering, or related roles.

Advanced English communication skills, both verbal and written.

Proficiency in at least one major cloud platform (AWS, Azure, or GCP).

Hands-on experience with CI/CD tools (e.g., Jenkins, GitLab CI/CD, CircleCI).

Strong scripting skills in Python, Bash, or similar languages.

Solid knowledge of infrastructure-as-code (IaC) tools like Terraform or CloudFormation.

Experience with containerization (Docker) and orchestration (Kubernetes).

Familiarity with monitoring and logging tools like Prometheus, Grafana, or ELK Stack.

Strong understanding of networking, security, and system architecture."
"DeVops Engineer","Pittsburgh Robotics Network","Pittsburgh, PA","https://www.linkedin.com/jobs/view/devops-engineer-at-pittsburgh-robotics-network-4347073200?position=7&pageNum=0&refId=a6vM9FZU54yRH5LeMf3gmg%3D%3D&trackingId=bYxoP5cUDQ41zaK2mzAdOg%3D%3D","DevOps Engineer

TDK SensEI

Pittsburgh, PA

This position is for our Pittsburgh, PA office - only apply if you are based there or willing to relocate.

At TDK SensEI, we are transforming how industrial customers utilize and interact with sensor data. We specialize in developing advanced AI solutions capable of running directly on edge devices. By processing data locally, TDK SensEI enhances real-time decision-making, privacy, security, and cost efficiency. Our offerings include automated machine learning tools, AI-powered condition-based monitoring systems, and various sensor devices optimized for low latency and power consumption. Collaborating with leading global companies, we empower teams to effortlessly devise and implement machine learning solutions for industrial applications, all without the need for coding.

We are seeking a Dev Ops engineer to join our team. In this position, the candidate will be responsible for managing, operating, and provisioning cloud environments such as AWS, Azure, Google cloud. You will work with development, security, and operations teams to deploy, scale, and operate dev environments. You are also responsible for improving and automating the dev environment. You will establish configuration management, automate our infrastructure, implement continuous integration, and train the team in DevOps best practices.

As a Dev Ops Engineer, Your Responsibilities Will Include


Designing, implementing, and maintaining tools and processes for continuous integration, delivery, and deployment of software
Working with developers to deploy and manage code changes
Working with operations staff to ensure that systems are up and running smoothly
Automating, monitoring, testing, configuring, networking, and Infrastructure as Code (IaC)
Streamlining and automating processes while troubleshooting existing development procedures
Managing the creation, release, and configuration of production systems
Architecting and optimizing several service components running on AWS environment


Skills & Requirements


Bachelor’s degree or equivalent experience
Minimum 2 years of experience in DevOps, infrastructure automation or similar role
Knowledge of Linux/UNIX administration
Proficiency in Python, JavaScript and other script environments (e.g. bash)
Experience with containerization technologies, Docker and associated tooling
Experience designing and implementing CI/CD pipelines
Experience operating databases such as PostgreSQL or MySQL, especially in cloud-native services like RDS
Awareness of critical concepts in DevOps and Agile principles
US work authorization


Nice To Have


AWS certifications (e.g., AWS Certified DevOps Engineer, AWS Certified Solutions Architect).
Familiarity with other cloud providers (Azure, Google Cloud).
Experience with container orchestration systems such as Kubernetes/EKS"
"DevOps Engineer","Princeton IT Services, Inc","Englewood Cliffs, NJ","https://www.linkedin.com/jobs/view/devops-engineer-at-princeton-it-services-inc-4338714288?position=8&pageNum=0&refId=a6vM9FZU54yRH5LeMf3gmg%3D%3D&trackingId=Pgf9nt5Gw2GVC2ESZ9thmg%3D%3D","Job Title: DevOps Engineer

Location: Englewood Cliffs, NJ

Employment Type: W2 Only

Job Summary

We are seeking a DevOps Engineer with strong hands-on experience in Linux, Docker, and Kubernetes to support and optimize our deployment environment in Englewood Cliffs, NJ. This is a W2-only role requiring solid skills in automation, CI/CD, and container orchestration. The ideal candidate will ensure smooth application releases, maintain system stability, and collaborate closely with development teams.

Key Responsibilities


Manage and support Linux-based systems in production and staging environments.
Build, maintain, and optimize CI/CD pipelines for automated deployments.
Create, manage, and troubleshoot Docker containers and images.
Deploy, monitor, and tune Kubernetes clusters and workloads.
Automate infrastructure tasks using Shell or Python scripts.
Implement and manage monitoring and logging tools (Prometheus, Grafana, ELK, etc.).
Troubleshoot system, container, and cluster-level issues end-to-end.
Work cross-functionally with development and QA teams to ensure smooth releases.


Required Skills


8+ years of DevOps or related experience.
Strong hands-on experience with Linux administration.
Solid experience working with Docker for containerization.
Strong working knowledge of Kubernetes (deployments, scaling, troubleshooting).
Experience building CI/CD pipelines (Jenkins, GitLab CI, GitHub Actions).
Strong scripting skills in Shell/Bash/Python.
Experience with monitoring and logging tools."
"DevOps Engineer","Lean TECHniques","Johnston, IA","https://www.linkedin.com/jobs/view/devops-engineer-at-lean-techniques-4336685413?position=9&pageNum=0&refId=a6vM9FZU54yRH5LeMf3gmg%3D%3D&trackingId=Tc9n3v6%2Bgp8MBxrJNOShUA%3D%3D","Maybe you’re bored and need a new challenge. Or you’re sick of all the bureaucracy and just want to focus on designing kick-ass software.

Whatever the reason, we want you to know that LT is different. And not just air quotes “different,” but more like “breathing easy for the first time in a long time” different.

It’s a place where you can write your own story and make a difference along the way. At LT, you’ll have the freedom and flexibility to do what you think needs to be done, and you’ll get to do it while working alongside a team of other curious individuals who love a good challenge too.

We’re currently looking to add a DevOps Engineer to our crew of nerds. If you’re someone who has 5+ years of DevOps experience, we'd love to chat!"
"DevOps Engineer","LifeMD","New York, NY","https://www.linkedin.com/jobs/view/devops-engineer-at-lifemd-4337132819?position=10&pageNum=0&refId=a6vM9FZU54yRH5LeMf3gmg%3D%3D&trackingId=BUU%2FyXgcs7x1IVS82WmFIg%3D%3D","About us:

LifeMD is a leading digital healthcare company committed to expanding access to virtual care, pharmacy services, and diagnostics by making them more affordable and convenient for all. Focused on both treatment and prevention, our unique care model is designed to optimize the patient experience and improve outcomes across more than 200 health concerns. 

To support our expanding patient base, LifeMD leverages a vertically-integrated, proprietary digital care platform, a 50-state affiliated medical group, a 22,500-square-foot affiliated pharmacy, and a U.S.-based patient care center. Our company — with offices in New York City; Greenville, SC; and Huntington Beach, CA — is powered by a dynamic team of passionate professionals. From clinicians and technologists to creatives and analysts, we're united by a shared mission to revolutionize healthcare. Employees enjoy a collaborative and inclusive work environment, hybrid work culture, and numerous opportunities for growth. Want your work to matter? Join us in building a future of accessible, innovative, and compassionate care.


About the role:

LifeMD is seeking a highly motivated and experienced DevOps Engineer to join our dynamic Technology team. This individual will serve as a critical link between software development and IT operations, playing a pivotal role in designing, implementing, and maintaining automated processes for software delivery, infrastructure management, and system monitoring. The primary objective is to accelerate our release cycles, enhance system stability, and improve overall operational efficiency across our diverse cloud infrastructure, all while strictly adhering to stringent healthcare industry compliance standards, including HIPAA and SOX.


Responsibilities:


Design, implement, and manage scalable, secure, and cost-effective cloud infrastructure primarily on AWS using Terraform
Develop and version control Terraform modules for automated provisioning, updating, and de-provisioning of cloud resources (e.g., EC2, S3, RDS, VPC, Lambda in AWS)
Design, build, and optimize automated CI/CD pipelines using GitHub Actions for various applications and microservices
Integrate automated testing, static code analysis, security scanning, and deployment steps into CI/CD workflows for high quality and secure releases
Implement, configure, and maintain comprehensive monitoring, logging, and alerting solutions (e.g., AWS CloudWatch, Datadog) for all environments
Develop custom dashboards, metrics, and alerts for real-time visibility into system health, performance, and security events
Proactively analyze logs and metrics to identify potential bottlenecks and issues
Participate in on-call rotations to swiftly respond to and resolve critical incidents, ensuring high service availability
Automate repetitive operational tasks, system configurations, and deployment processes using Python and Bash to enhance efficiency



Requirements



Basic Qualifications:

Bachelor's degree in Computer Science, Information Technology, Engineering, or a related technical field, or equivalent work experience
3+ years of progressive experience as a DevOps Engineer, Site Reliability Engineer (SRE), or similar role in a cloud-native environment
Expert-level proficiency in AWS services (EC2, S3, RDS, VPC, Lambda, IAM, CloudWatch, etc.). Solid understanding and working knowledge of GCP, Digital Ocean, and Azure concepts and services
Expertise in Terraform for multi-cloud infrastructure provisioning and management, including experience with state management, modules, and workspaces
Highly skilled in using Git and GitHub for source code management, branching strategies, and pull request workflows
Hands-on experience with implementing and managing monitoring and logging solutions (e.g., AWS CloudWatch, Datadog, ELK stack)
Solid understanding of cloud networking concepts, including VPCs, subnets, routing tables, load balancers, DNS, and VPNs
Strong understanding of cloud security best practices, identity and access management (IAM), security groups, network ACLs, and data protection principles
Working knowledge of database concepts and experience with various database types (e.g., MongoDB, PostgreSQL, MySQL)
Strong understanding and implementation of Ansible for cloud workload automations
Hands-on experience with Linux (Ubuntu) and update/patching mechanisms



Preferred Qualifications:

Experience in the healthcare industry or a highly regulated environment, with a demonstrable understanding of compliance requirements (e.g., HIPAA, SOC2)
Relevant cloud certifications (e.g., AWS Certified DevOps Engineer - Professional, AWS Certified Solutions Architect - Associate/Professional)
In-depth experience with GitHub Actions for designing, implementing, and maintaining automated build, test, and deployment pipelines. Familiarity with other CI/CD tools
Strong proficiency in Python and Bash scripting for automation, system administration, and tool development.
Knowledge of Node.js or PHP
Experience with Docker for containerizing applications. Familiarity with container orchestration platforms (e.g., Kubernetes, AWS ECS)
Exceptional problem-solving and analytical skills with a proactive approach to identifying and resolving complex technical issues
Excellent communication and interpersonal skills, capable of effectively collaborating with diverse cross-functional teams (developers, QA, product, security)
Strong sense of ownership, accountability, and ability to work independently while also being a strong team player
A continuous learning mindset, staying updated with emerging technologies, industry trends, and best practices in the DevOps space
Meticulous attention to detail and strong documentation skills



Benefits


Salary Range: $130,000-$140,000
Health Care Plan (Medical, Dental & Vision)
Retirement Plan (401k, IRA)
Life Insurance (Basic, Voluntary & AD&D)
Unlimited PTO Policy
Paid Holidays
Short Term & Long Term Disability
Training & Development"
